Classifier/Model,Features,Repetitions,Accuracy,Variance,AccuracyList
LogisticRegression,all,25,0.4198,0.001335,"[0.45, 0.39, 0.345, 0.405, 0.44, 0.425, 0.39, 0.485, 0.39, 0.41, 0.4, 0.38, 0.39, 0.515, 0.44, 0.455, 0.435, 0.385, 0.43, 0.395, 0.405, 0.43, 0.41, 0.475, 0.42]"
MLPClassifier,all,25,0.4714,0.001445,"[0.5, 0.445, 0.405, 0.455, 0.47, 0.5, 0.51, 0.52, 0.42, 0.455, 0.46, 0.425, 0.43, 0.565, 0.49, 0.515, 0.5, 0.445, 0.49, 0.42, 0.445, 0.48, 0.5, 0.495, 0.445]"
RandomForestClassifier,all,25,0.449,0.001094,"[0.475, 0.49, 0.415, 0.44, 0.45, 0.425, 0.44, 0.49, 0.425, 0.435, 0.425, 0.45, 0.405, 0.495, 0.395, 0.515, 0.485, 0.44, 0.475, 0.43, 0.42, 0.515, 0.435, 0.425, 0.43]"
SupportVectorMachine(linear),all,25,0.4286,0.001065,"[0.485, 0.395, 0.385, 0.405, 0.435, 0.395, 0.43, 0.49, 0.435, 0.405, 0.415, 0.38, 0.415, 0.475, 0.43, 0.45, 0.45, 0.42, 0.455, 0.385, 0.42, 0.41, 0.45, 0.495, 0.405]"
SupportVectorMachine(poly),all,25,0.4792,0.001855,"[0.56, 0.545, 0.4, 0.5, 0.49, 0.47, 0.505, 0.515, 0.43, 0.45, 0.435, 0.53, 0.425, 0.485, 0.465, 0.52, 0.52, 0.44, 0.505, 0.445, 0.475, 0.51, 0.485, 0.485, 0.39]"
SupportVectorMachine(rbf),all,25,0.4356,0.001161,"[0.48, 0.435, 0.395, 0.41, 0.445, 0.455, 0.445, 0.495, 0.385, 0.405, 0.415, 0.42, 0.405, 0.49, 0.375, 0.45, 0.475, 0.435, 0.48, 0.405, 0.43, 0.445, 0.42, 0.49, 0.405]"
SupportVectorMachine(sigmoid),all,25,0.069,0.000108,"[0.075, 0.08, 0.075, 0.075, 0.07, 0.08, 0.055, 0.06, 0.075, 0.06, 0.07, 0.09, 0.06, 0.075, 0.07, 0.07, 0.08, 0.07, 0.075, 0.075, 0.04, 0.055, 0.07, 0.06, 0.06]"
