Classifier/Model,Features,Repetitions,Accuracy,Variance,AccuracyList
LogisticRegression,all,25,0.3466,0.000657,"[0.415, 0.35, 0.32, 0.34, 0.355, 0.35, 0.32, 0.38, 0.35, 0.33, 0.32, 0.35, 0.32, 0.37, 0.35, 0.35, 0.355, 0.325, 0.38, 0.345, 0.35, 0.325, 0.355, 0.375, 0.285]"
MLPClassifier,all,25,0.403,0.000892,"[0.425, 0.405, 0.36, 0.405, 0.39, 0.42, 0.43, 0.47, 0.42, 0.37, 0.4, 0.37, 0.385, 0.42, 0.43, 0.445, 0.405, 0.37, 0.435, 0.41, 0.42, 0.355, 0.38, 0.41, 0.345]"
RandomForestClassifier,all,25,0.4582,0.000882,"[0.46, 0.445, 0.435, 0.47, 0.5, 0.46, 0.475, 0.465, 0.445, 0.39, 0.47, 0.525, 0.43, 0.455, 0.455, 0.495, 0.465, 0.455, 0.505, 0.45, 0.435, 0.425, 0.485, 0.455, 0.405]"
SupportVectorMachine(linear),all,25,0.3716,0.000827,"[0.44, 0.41, 0.345, 0.36, 0.39, 0.35, 0.39, 0.38, 0.375, 0.34, 0.35, 0.405, 0.335, 0.365, 0.35, 0.375, 0.39, 0.38, 0.405, 0.335, 0.34, 0.35, 0.375, 0.42, 0.335]"
SupportVectorMachine(poly),all,25,0.262,0.00145,"[0.295, 0.245, 0.245, 0.195, 0.27, 0.3, 0.24, 0.275, 0.285, 0.24, 0.32, 0.195, 0.21, 0.28, 0.28, 0.305, 0.32, 0.245, 0.27, 0.215, 0.305, 0.195, 0.29, 0.245, 0.285]"
SupportVectorMachine(rbf),all,25,0.4482,0.000914,"[0.49, 0.45, 0.385, 0.425, 0.495, 0.45, 0.455, 0.48, 0.47, 0.41, 0.46, 0.475, 0.445, 0.485, 0.44, 0.465, 0.445, 0.41, 0.475, 0.45, 0.42, 0.41, 0.435, 0.485, 0.395]"
SupportVectorMachine(sigmoid),all,25,0.3916,0.000935,"[0.395, 0.385, 0.345, 0.37, 0.4, 0.4, 0.385, 0.395, 0.365, 0.395, 0.445, 0.42, 0.38, 0.465, 0.455, 0.385, 0.38, 0.35, 0.405, 0.41, 0.365, 0.365, 0.4, 0.39, 0.34]"
