Classifier/Model,Features,Repetitions,Accuracy,Variance,AccuracyList
LogisticRegression,all,25,0.4826,0.001154,"[0.54, 0.49, 0.42, 0.415, 0.485, 0.52, 0.49, 0.53, 0.49, 0.485, 0.475, 0.485, 0.455, 0.535, 0.54, 0.49, 0.475, 0.46, 0.52, 0.43, 0.475, 0.46, 0.46, 0.48, 0.46]"
MLPClassifier,all,25,0.4884,0.000913,"[0.525, 0.51, 0.47, 0.43, 0.475, 0.52, 0.505, 0.505, 0.525, 0.51, 0.5, 0.47, 0.425, 0.52, 0.505, 0.54, 0.495, 0.45, 0.51, 0.465, 0.495, 0.47, 0.445, 0.475, 0.47]"
RandomForestClassifier,all,25,0.498,0.000736,"[0.495, 0.485, 0.455, 0.47, 0.55, 0.485, 0.48, 0.555, 0.485, 0.48, 0.475, 0.56, 0.49, 0.515, 0.49, 0.495, 0.515, 0.495, 0.515, 0.46, 0.47, 0.515, 0.515, 0.515, 0.485]"
SupportVectorMachine(linear),all,25,0.487,0.00092,"[0.46, 0.485, 0.43, 0.465, 0.5, 0.515, 0.51, 0.52, 0.53, 0.49, 0.47, 0.495, 0.45, 0.56, 0.53, 0.49, 0.5, 0.47, 0.51, 0.445, 0.49, 0.48, 0.45, 0.47, 0.46]"
SupportVectorMachine(poly),all,25,0.5224,0.000896,"[0.545, 0.54, 0.48, 0.5, 0.51, 0.56, 0.55, 0.55, 0.52, 0.53, 0.54, 0.545, 0.46, 0.58, 0.545, 0.54, 0.55, 0.49, 0.525, 0.47, 0.51, 0.535, 0.505, 0.49, 0.49]"
SupportVectorMachine(rbf),all,25,0.4698,0.001505,"[0.505, 0.45, 0.4, 0.47, 0.49, 0.47, 0.46, 0.525, 0.435, 0.44, 0.49, 0.53, 0.44, 0.555, 0.525, 0.505, 0.45, 0.425, 0.505, 0.44, 0.45, 0.43, 0.465, 0.47, 0.42]"
SupportVectorMachine(sigmoid),all,25,0.108,0.000666,"[0.075, 0.1, 0.125, 0.105, 0.075, 0.13, 0.06, 0.125, 0.115, 0.115, 0.12, 0.135, 0.105, 0.085, 0.14, 0.105, 0.135, 0.07, 0.09, 0.08, 0.095, 0.135, 0.12, 0.17, 0.09]"
