Classifier/Model,Features,Repetitions,Accuracy,Variance,AccuracyList
LogisticRegression,all_incl._chords,25,0.6358,0.000593,"[0.66, 0.645, 0.645, 0.595, 0.63, 0.63, 0.645, 0.65, 0.655, 0.66, 0.65, 0.605, 0.635, 0.665, 0.68, 0.595, 0.645, 0.575, 0.635, 0.63, 0.625, 0.665, 0.635, 0.61, 0.63]"
MLPClassifier,all_incl._chords,25,0.6526,0.000744,"[0.665, 0.655, 0.645, 0.61, 0.61, 0.65, 0.64, 0.68, 0.665, 0.67, 0.665, 0.69, 0.6, 0.725, 0.68, 0.67, 0.665, 0.615, 0.655, 0.655, 0.63, 0.65, 0.655, 0.64, 0.63]"
RandomForestClassifier,all_incl._chords,25,0.6668,0.0016,"[0.67, 0.68, 0.65, 0.635, 0.71, 0.65, 0.685, 0.69, 0.705, 0.675, 0.67, 0.675, 0.615, 0.78, 0.66, 0.68, 0.685, 0.575, 0.71, 0.62, 0.66, 0.635, 0.635, 0.7, 0.62]"
SupportVectorMachine(linear),all_incl._chords,25,0.6398,0.001073,"[0.675, 0.64, 0.63, 0.605, 0.685, 0.635, 0.66, 0.645, 0.71, 0.62, 0.64, 0.595, 0.585, 0.705, 0.685, 0.61, 0.635, 0.615, 0.65, 0.605, 0.6, 0.65, 0.62, 0.655, 0.64]"
SupportVectorMachine(poly),all_incl._chords,25,0.4336,0.001749,"[0.535, 0.46, 0.415, 0.35, 0.465, 0.445, 0.48, 0.445, 0.41, 0.465, 0.375, 0.33, 0.415, 0.445, 0.45, 0.43, 0.48, 0.425, 0.4, 0.445, 0.45, 0.445, 0.4, 0.455, 0.425]"
SupportVectorMachine(rbf),all_incl._chords,25,0.6348,0.001139,"[0.645, 0.61, 0.61, 0.605, 0.65, 0.64, 0.635, 0.68, 0.655, 0.665, 0.625, 0.66, 0.565, 0.745, 0.655, 0.655, 0.635, 0.6, 0.625, 0.59, 0.62, 0.63, 0.63, 0.625, 0.615]"
SupportVectorMachine(sigmoid),all_incl._chords,25,0.5826,0.001174,"[0.615, 0.565, 0.555, 0.56, 0.565, 0.61, 0.575, 0.6, 0.605, 0.605, 0.585, 0.575, 0.535, 0.685, 0.6, 0.595, 0.61, 0.52, 0.565, 0.53, 0.59, 0.58, 0.62, 0.54, 0.58]"
