Classifier/Model,Features,Repetitions,Accuracy,Variance,AccuracyList
LogisticRegression,all,25,0.49,0.00105,"[0.53, 0.525, 0.425, 0.51, 0.5, 0.48, 0.495, 0.51, 0.47, 0.485, 0.435, 0.55, 0.48, 0.525, 0.5, 0.5, 0.505, 0.44, 0.49, 0.455, 0.455, 0.515, 0.51, 0.52, 0.44]"
MLPClassifier,all,25,0.4704,0.001328,"[0.53, 0.48, 0.4, 0.44, 0.465, 0.51, 0.46, 0.52, 0.445, 0.42, 0.445, 0.53, 0.485, 0.52, 0.51, 0.47, 0.49, 0.4, 0.485, 0.47, 0.44, 0.48, 0.465, 0.465, 0.435]"
RandomForestClassifier,all,25,0.449,0.001094,"[0.475, 0.49, 0.415, 0.44, 0.45, 0.425, 0.44, 0.49, 0.425, 0.435, 0.425, 0.45, 0.405, 0.495, 0.395, 0.515, 0.485, 0.44, 0.475, 0.43, 0.42, 0.515, 0.435, 0.425, 0.43]"
SupportVectorMachine(linear),all,25,0.4642,0.001039,"[0.515, 0.465, 0.41, 0.51, 0.48, 0.475, 0.455, 0.5, 0.445, 0.49, 0.425, 0.505, 0.42, 0.48, 0.445, 0.49, 0.5, 0.42, 0.47, 0.44, 0.41, 0.5, 0.45, 0.47, 0.435]"
SupportVectorMachine(poly),all,25,0.299,0.001384,"[0.35, 0.325, 0.24, 0.27, 0.335, 0.305, 0.335, 0.295, 0.265, 0.265, 0.34, 0.245, 0.3, 0.275, 0.27, 0.305, 0.35, 0.33, 0.325, 0.295, 0.31, 0.29, 0.235, 0.37, 0.25]"
SupportVectorMachine(rbf),all,25,0.4444,0.000993,"[0.485, 0.435, 0.39, 0.435, 0.475, 0.47, 0.485, 0.49, 0.395, 0.41, 0.435, 0.445, 0.41, 0.475, 0.405, 0.46, 0.47, 0.43, 0.485, 0.41, 0.43, 0.45, 0.43, 0.49, 0.415]"
SupportVectorMachine(sigmoid),all,25,0.3146,0.00102,"[0.315, 0.29, 0.235, 0.345, 0.325, 0.315, 0.3, 0.375, 0.335, 0.32, 0.295, 0.305, 0.32, 0.36, 0.275, 0.32, 0.36, 0.28, 0.33, 0.34, 0.265, 0.3, 0.285, 0.35, 0.325]"
