Classifier/Model,Features,Repetitions,Accuracy,Variance,AccuracyList
SupportVectorMachine(sigmoid),spectral_centroid,25,0.1168,0.000358,"[0.15, 0.105, 0.145, 0.125, 0.11, 0.13, 0.115, 0.15, 0.095, 0.095, 0.11, 0.11, 0.105, 0.11, 0.08, 0.105, 0.14, 0.13, 0.115, 0.125, 0.135, 0.09, 0.1, 0.105, 0.14]"
LogisticRegression,zero_crossing_rate,25,0.165,0.00039,"[0.19, 0.22, 0.16, 0.175, 0.15, 0.17, 0.17, 0.165, 0.17, 0.145, 0.135, 0.18, 0.135, 0.19, 0.15, 0.175, 0.195, 0.145, 0.155, 0.17, 0.16, 0.17, 0.14, 0.155, 0.155]"
MLPClassifier,zero_crossing_rate,25,0.1754,0.000732,"[0.22, 0.135, 0.165, 0.19, 0.205, 0.155, 0.2, 0.165, 0.175, 0.15, 0.13, 0.175, 0.12, 0.19, 0.145, 0.205, 0.24, 0.18, 0.17, 0.185, 0.19, 0.175, 0.175, 0.17, 0.175]"
RandomForestClassifier,zero_crossing_rate,25,0.1432,0.00049,"[0.15, 0.12, 0.15, 0.115, 0.155, 0.14, 0.165, 0.13, 0.15, 0.135, 0.105, 0.17, 0.09, 0.14, 0.15, 0.13, 0.14, 0.175, 0.185, 0.15, 0.13, 0.135, 0.17, 0.13, 0.17]"
SupportVectorMachine(linear),zero_crossing_rate,25,0.1622,0.000398,"[0.18, 0.175, 0.15, 0.18, 0.16, 0.165, 0.155, 0.155, 0.19, 0.145, 0.12, 0.19, 0.125, 0.165, 0.15, 0.19, 0.205, 0.17, 0.14, 0.16, 0.17, 0.145, 0.165, 0.15, 0.155]"
SupportVectorMachine(poly),zero_crossing_rate,25,0.1268,0.00039,"[0.145, 0.1, 0.115, 0.15, 0.14, 0.15, 0.115, 0.16, 0.135, 0.15, 0.125, 0.115, 0.13, 0.125, 0.105, 0.14, 0.14, 0.1, 0.125, 0.115, 0.155, 0.08, 0.11, 0.135, 0.11]"
SupportVectorMachine(rbf),zero_crossing_rate,25,0.1722,0.000836,"[0.19, 0.145, 0.16, 0.19, 0.195, 0.15, 0.165, 0.16, 0.18, 0.15, 0.105, 0.19, 0.105, 0.175, 0.165, 0.19, 0.245, 0.185, 0.19, 0.19, 0.21, 0.175, 0.165, 0.175, 0.155]"
SupportVectorMachine(sigmoid),zero_crossing_rate,25,0.118,0.000428,"[0.095, 0.13, 0.095, 0.135, 0.11, 0.13, 0.085, 0.095, 0.095, 0.115, 0.115, 0.14, 0.105, 0.145, 0.085, 0.165, 0.1, 0.125, 0.12, 0.11, 0.13, 0.13, 0.155, 0.115, 0.125]"
LogisticRegression,mfcc,25,0.5196,0.001186,"[0.55, 0.505, 0.515, 0.46, 0.555, 0.59, 0.56, 0.505, 0.56, 0.53, 0.535, 0.49, 0.435, 0.555, 0.515, 0.485, 0.53, 0.52, 0.54, 0.525, 0.515, 0.525, 0.525, 0.505, 0.46]"
MLPClassifier,mfcc,25,0.5756,0.001359,"[0.585, 0.575, 0.55, 0.55, 0.635, 0.575, 0.63, 0.53, 0.585, 0.595, 0.585, 0.51, 0.48, 0.625, 0.56, 0.575, 0.595, 0.535, 0.62, 0.555, 0.585, 0.62, 0.56, 0.6, 0.575]"
RandomForestClassifier,mfcc,25,0.5414,0.001343,"[0.545, 0.57, 0.505, 0.535, 0.59, 0.555, 0.57, 0.525, 0.55, 0.585, 0.525, 0.465, 0.435, 0.595, 0.525, 0.545, 0.565, 0.555, 0.53, 0.55, 0.525, 0.56, 0.545, 0.585, 0.5]"
SupportVectorMachine(linear),mfcc,25,0.5234,0.001601,"[0.54, 0.5, 0.545, 0.45, 0.545, 0.58, 0.595, 0.515, 0.56, 0.515, 0.535, 0.48, 0.42, 0.555, 0.52, 0.505, 0.545, 0.495, 0.575, 0.52, 0.505, 0.55, 0.51, 0.555, 0.47]"
SupportVectorMachine(poly),mfcc,25,0.5158,0.000985,"[0.535, 0.555, 0.54, 0.49, 0.535, 0.53, 0.575, 0.485, 0.485, 0.545, 0.495, 0.47, 0.425, 0.555, 0.51, 0.51, 0.495, 0.505, 0.53, 0.505, 0.52, 0.525, 0.5, 0.53, 0.545]"
SupportVectorMachine(rbf),mfcc,25,0.571,0.001254,"[0.62, 0.555, 0.6, 0.535, 0.59, 0.57, 0.635, 0.545, 0.565, 0.58, 0.57, 0.515, 0.495, 0.645, 0.57, 0.57, 0.555, 0.54, 0.58, 0.55, 0.575, 0.6, 0.585, 0.61, 0.52]"
SupportVectorMachine(sigmoid),mfcc,25,0.4224,0.001032,"[0.39, 0.38, 0.415, 0.38, 0.45, 0.45, 0.465, 0.375, 0.485, 0.415, 0.45, 0.365, 0.38, 0.44, 0.42, 0.42, 0.45, 0.405, 0.45, 0.455, 0.415, 0.44, 0.42, 0.455, 0.39]"
