Classifier/Model,Features,Repetitions,Accuracy,Variance,AccuracyList
LogisticRegression,all,25,0.7026,0.000668,"[0.71, 0.705, 0.715, 0.705, 0.74, 0.745, 0.735, 0.665, 0.735, 0.705, 0.69, 0.695, 0.71, 0.74, 0.705, 0.735, 0.69, 0.66, 0.715, 0.665, 0.67, 0.68, 0.695, 0.695, 0.66]"
MLPClassifier,all,25,0.7206,0.000505,"[0.725, 0.71, 0.675, 0.72, 0.77, 0.73, 0.745, 0.705, 0.745, 0.7, 0.75, 0.71, 0.705, 0.755, 0.71, 0.735, 0.73, 0.69, 0.74, 0.7, 0.73, 0.72, 0.7, 0.725, 0.69]"
LogisticRegression,all,25,0.6882,0.000374,"[0.71, 0.695, 0.695, 0.665, 0.685, 0.67, 0.695, 0.695, 0.685, 0.72, 0.675, 0.68, 0.7, 0.72, 0.695, 0.645, 0.7, 0.715, 0.65, 0.695, 0.675, 0.71, 0.67, 0.68, 0.68]"
MLPClassifier,all,25,0.7162,0.000693,"[0.725, 0.7, 0.72, 0.68, 0.75, 0.705, 0.665, 0.71, 0.73, 0.77, 0.715, 0.735, 0.72, 0.735, 0.7, 0.685, 0.71, 0.725, 0.68, 0.77, 0.675, 0.725, 0.74, 0.715, 0.72]"
